Регион,Дата,Наменование ЖК,Рацион,Масляная,Капроновая,Каприловая,Каприновая,Деценовая,Лауриновая,Миристиновая,Миристолеиновая,Пальмитиновая,Пальмитолеиновая,Стеариновая,Олеиновая,Линолевая,Линоленовая,Арахиновая,Бегеновая,Прочие,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17
ЭНА,2025-06-26,ЖК Петропавловка,ЖК Петропавловка Д1 (КК-11) 26.06.25_ЭНАВ,3.44,2.33,1.41,3.52,0.24,4.25,11.36,1.04,33.12,2.03,8.31,21.15,2.59,0.46,0.12,"<0,05",-,"39,00","61,00","7,47","11,63","16,79","6,05","6,56","26,62","25,55","16,97","5,62","7,03","15,86","7,71","34,33","45,37","4,35","3,67"
ЭНА,2025-03-12,ЖК Петропавловка ,ЖК Петропавловка Д0 (КК-11) 12.03.25_ЭНАВ,3.44,2.12,1.24,2.88,0.19,3.31,9.8,0.75,30.3,2.09,10.86,25.57,2.46,0.41,0.14,"<0,05",-,"48,00","52,00","7,09","11,10","16,68","6,03","6,26","22,98","31,44","23,54","8,18","5,67","20,34","6,66","29,64","39,64","4,19","3,43"
ЭНА,2025-03-12,ЖК Петропавловка ,ЖК Петропавловка Д1 (КК-11) 12.03.25_ЭНАВ,3.16,2.07,1.28,3.14,0.26,3.79,10.62,1.0,32.22,2.07,9.41,23.22,2.49,0.41,0.14,"<0,05",-,"39,00","61,00","7,37","11,50","16,77","6,11","6,43","26,49","26,96","16,93","5,87","5,84","17,46","7,43","33,92","44,04","4,35","3,60"
ЭНА,2025-03-12,ЖК Петропавловка ,ЖК Петропавловка Д1 (КК-11) 12.03.25_ЭНАВ,3.18,2.11,1.3,3.26,0.25,3.91,10.93,0.95,31.95,2.15,9.16,23.35,2.55,0.41,0.13,"<0,05",-,"39,00","61,00","7,37","11,50","16,77","6,11","6,43","26,49","26,96","16,93","5,87","5,84","17,46","7,43","33,92","44,04","4,35","3,60"
ЭНА,2025-03-12,ЖК Петропавловка ,ЖК Петропавловка Д1 (КК-10) 12.03.25_ЭНАВ,3.08,2.1,1.35,3.47,0.31,4.32,11.83,1.22,31.66,2.11,7.94,22.4,2.69,0.5,0.13,"<0,05",-,"42,00","58,00","7,11","11,20","16,71","6,03","6,27","25,40","29,30","20,37","7,04","5,90","18,35","7,67","33,07","43,05","2,96","2,26"
ЭНА,2025-03-12,ЖК Петропавловка ,ЖК Петропавловка Д1 (КК-10) 12.03.25_ЭНАВ,3.06,2.1,1.37,3.55,0.31,4.45,11.91,1.24,31.8,2.12,7.97,22.03,2.67,0.46,0.13,"<0,05",-,"42,00","58,00","7,11","11,20","16,71","6,03","6,27","25,40","29,30","20,37","7,04","5,90","18,35","7,67","33,07","43,05","2,96","2,26"
Калуга,2025-06-20,ЖК Пеневичи,Д1 ЖК Пеневичи 20.06.2025,3.43,2.25,1.34,3.17,0.26,3.8,10.8,1.07,31.93,2.14,8.96,22.85,2.52,0.35,0.12,"<0,05",-,"10,9690","6,9638","50,1216","16,7825","5,9558","6,4167","18,3656","18,8625","28,0334","17,0058","6,9175","7,2562","29,0826","21,7428","4,5109","43,3854","4,4190","3,6530"
Калуга,2025-06-18,ЖК Аристово,Отчет_Д1 Аристово 18.06.25_КНВ,2.66,1.95,1.31,3.31,-,3.98,11.84,1.12,31.97,1.8,9.72,23.27,3.06,0.43,0.16,0.1,-,"16,9491","11,3368","26,5055","16,8354","7,2664","5,6654","5,5750","17,0344","17,7941","6,8653","6,0814","28,7507","21,0892","43,8657","4,8234","4,0360","7,5763","0,9077"
Калуга,2025-06-18,ЖК Богданино,Отчет_ЖК Богданино Д1 18.06.25_v1_КНЮ,2.64,2.0,1.38,3.61,-,4.4,12.61,1.23,31.99,2.03,8.79,21.52,3.03,0.41,0.16,0.1,-,"26,7378","16,7393","16,9877","7,2126","6,0246","28,6584","21,7995","44,2290","5,7739","4,2841","0,8632","0,4048","0,3673","0,4248","1,4595","0,4884","6,5963","6,1250"
Калуга,2025-06-18,ЖК Болдасовка,Отчет_Д2 Болдасовка 18.06.25_КНВ,2.53,1.87,1.28,3.2,-,3.89,11.98,1.27,29.84,1.74,9.6,25.5,3.22,0.44,0.17,0.1,-,"16,8615","11,2118","26,4318","17,2702","7,1273","6,8815","5,7892","16,8085","16,9103","6,9770","6,7238","28,7184","21,2775","45,4816","3,4053","2,6226","7,5461","0,9587"
Калуга,2025-06-18,МТФ Романово,Отчет_Д1 МТФ  Романово 18.06.25 _КНЗ,2.64,2.05,1.41,3.63,-,4.39,12.47,1.2,31.99,1.77,9.0,21.84,3.09,0.44,0.17,0.1,-,"6,9886","17,1629","0,7511","6,3298","27,6237","20,4731","8,7191","4,5176","28,5406","6,5568","43,7361","33,0582","3,3940","2,6362","7,8033","0,9995","0,4285","0,3700"
ЭНА,2025-03-12,ЖК Петропавловка ,ЖК Петропавловка Д3 (КК-10) 12.03.25_ЭНАВ,3.11,2.01,1.23,2.99,0.27,3.67,10.98,1.15,30.97,2.39,8.52,24.92,2.4,0.47,0.14,"<0,05",-,"79,77","20,23","6,18","9,88","15,11","4,60","9,40","18,56","38,79","34,81","12,07","3,15","27,91","3,35","21,90","33,31","3,26","2,03"
ЭНА,2025-06-26,ЖК Ст. Чигла,Рацион Д1 ЖК Старая Чигла 26.06.25_ЭНАС,3.29,2.19,1.33,3.21,0.22,3.9,11.23,1.1,33.08,2.19,8.05,22.18,2.65,0.45,0.11,"<0,05",-,"17,0502","26,0293","17,4794","6,6572","6,9727","25,6411","7,2000","44,4210","3,6202","7,8185","0,9216","0,3768","0,3836","1,5795","17,1293","57,6000","2,0212","7,0665"
ЭНА,2025-02-25,ЖК Щучье,Отчет_Д1 ЖК Щучье 25.02.2025_ЭНАПБ,3.39,2.13,1.33,3.25,0.25,3.95,11.54,0.94,30.13,1.99,8.89,24.58,2.28,0.44,0.13,"<0,05",-,"16,3615","23,7641","29,2993","19,5487","7,2825","21,5476","8,3462","6,7743","10,7179","8,2821","6,6626","42,7715","3,1647","2,3381","8,1211","0,9014","0,3731","0,3689"
ЭНА,2025-05-21,ЖК Щучье,Отчет_Д1 ЖК Щучье 21.05.2025_ЭНАПБ,3.93,2.48,1.39,3.26,0.23,3.85,11.8,0.87,33.64,2.02,8.3,21.04,2.1,0.39,0.12,"<0,05",-,"16,4680","25,2204","28,8505","19,9273","7,1719","20,8824","8,5724","6,8229","10,7897","7,9437","6,5812","43,1412","3,1044","2,3184","8,1540","0,9249","0,3696","0,3554"
ЭНА,2025-06-26,МТФ Петропавловка,МТФ Петропавловка Д3 (КК-10) 26.06.25_ЭНАВ,3.28,2.03,1.11,2.54,0.2,3.05,9.82,0.96,33.21,2.44,8.64,24.81,1.71,0.65,0.15,0.06,-,"79,32","20,68","6,32","10,07","15,21","4,40","9,59","18,96","38,13","34,14","11,04","2,87","26,71","4,40","23,36","33,96","3,28","2,05"
ЭНА,2025-06-26,МТФ Щучье,Рацион МТФ Щучье 26.06.2025_ЭНАПБ,3.33,2.02,1.16,2.64,0.19,3.15,10.05,0.95,28.54,2.27,9.98,27.85,2.27,0.43,0.14,"<0,05",-,"16,4481","25,0970","33,1983","22,8864","7,3766","23,7841","9,6216","6,6283","10,5212","5,8924","4,5945","39,6310","3,2350","2,3916","7,2304","0,7986","0,4215","0,4207"
Калуга,2025-07-11,ЖК Аристово,Отчет_Д1 Аристово 11.07.25_КНВ,3.61,2.26,1.34,3.13,0.2,3.59,10.47,0.88,29.08,2.02,10.69,22.83,2.65,0.46,0.14,"<0,05",-,"17,0945","11,1026","27,3797","17,2474","7,1028","5,9656","5,3637","18,1098","18,0151","7,0403","6,0464","28,8298","21,9593","42,8855","4,9085","3,9928","7,4553","0,8672"
Калуга,2025-07-11,ЖК Богданино,Отчет_ЖК Богданино Д1 11.07.25_v2_КНЮ,3.36,2.14,1.29,3.24,0.21,3.89,11.03,0.99,32.5,2.26,8.9,22.57,2.42,0.33,0.11,"<0,05",-,"27,1147","18,8145","17,0150","7,2016","5,8802","28,1368","21,1014","44,0472","6,0328","4,2662","0,8457","0,3980","0,3754","0,4163","1,4243","0,5187","6,7162","6,4096"
Калуга,2025-07-11,ЖК Болдасовка,Отчет_Д2 Болдасовка 18.06.25_КНВ,3.28,2.2,1.36,3.36,0.27,4.06,11.13,1.27,27.82,2.25,8.35,26.23,2.99,0.41,0.12,"<0,05",-,"16,8615","11,2118","26,4318","17,2702","7,1273","6,8815","5,7892","16,8085","16,9103","6,9770","6,7238","28,7184","21,2775","45,4816","3,4053","2,6226","7,5461","0,9587"
Калуга,2025-07-11,ЖК Бушовка,Отчет_ЖК Бушовка Д1 11.07.2025_v3_КНЮ,3.22,2.17,1.4,3.64,0.24,4.53,11.81,1.13,33.24,2.2,7.75,20.47,2.68,0.37,0.11,"<0,05",-,"26,5166","17,7622","17,0819","7,2920","5,9068","28,1191","20,4469","44,7774","5,7380","4,4213","0,8688","0,3833","0,3812","0,4177","1,4744","0,5370","6,5125","7,1167"
Калуга,2025-07-11,ЖК Сугоново,Отчет_Д1 Сугоново 11.07.25_КНВ,3.46,2.28,1.38,3.36,0.21,3.98,10.89,0.97,29.84,2.08,9.89,23.96,2.63,0.41,0.13,"<0,05",-,"17,0839","11,1183","27,7168","17,3174","7,1105","6,1115","5,6575","17,2207","17,7395","7,0471","5,9468","28,5012","21,6422","42,7926","4,7127","3,9116","7,4174","0,8703"
